"userId","email","role","status","createdAt","lastLogin"
"100001","ta@test.com","TA","ACTIVE","2026-04-24T20:13:08.784188600",""
"100002","mo@test.com","MO","PENDING","2026-04-24T20:13:08.829402900",""
"100003","123@qmul.ac.uk","MO","PENDING","2026-04-24T20:13:44.524339800","2026-04-24T22:25:38.173509700"
"100004","111@qmul.ac.uk","TA","ACTIVE","2026-04-24T22:25:56.053700700","2026-04-24T22:30:57.811323700"
"100005","222@qmul.ac.uk","ADMIN","ACTIVE","2026-04-24T23:00:10.197086300","2026-04-24T23:00:16.311597200"
"100006","1234567890","TA","ACTIVE","2026-04-25T00:01:51.427486","2026-04-25T00:02:09.104799200"
"100007","123456789","TA","ACTIVE","2026-04-25T00:02:23.915090300","2026-04-25T00:02:31.476419300"
"100008","em@qmul.ac.uk","MO","PENDING","2026-04-25T00:03:01.459386300","2026-04-25T00:03:13.114544800"
"100009","emm@bupt.edu.cn","MO","PENDING","2026-04-25T00:04:00.878420200","2026-04-25T00:04:13.428978700"
"100010","admin@test.com","ADMIN","ACTIVE","2026-04-25T10:00","2026-04-25T00:28:27.985393800"
